SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season
42000,281,0040000079,"MAY 28, 2001",MIL vs. PHI,L,26,2,6,0.333,0,0,0.0,0,0,0.0,4,3,7,0,0,4,0,0,4,-8,0,281,Scott Williams,2000-01
42000,281,0040000078,"MAY 26, 2001",MIL vs. PHI,W,28,1,6,0.167,0,0,0.0,2,2,1.0,2,6,8,1,0,2,0,5,4,9,0,281,Scott Williams,2000-01
42000,281,0040000077,"MAY 24, 2001",MIL @ PHI,W,24,2,8,0.25,0,0,0.0,1,2,0.5,2,3,5,0,1,0,0,3,5,16,0,281,Scott Williams,2000-01
42000,281,0040000076,"MAY 22, 2001",MIL @ PHI,L,22,1,3,0.333,0,0,0.0,0,0,0.0,3,4,7,2,0,3,0,4,2,4,0,281,Scott Williams,2000-01
42000,281,0040000048,"MAY 20, 2001",MIL vs. CHH,W,27,4,8,0.5,0,0,0.0,5,6,0.833,1,7,8,2,0,3,1,4,13,1,0,281,Scott Williams,2000-01
42000,281,0040000047,"MAY 17, 2001",MIL @ CHH,W,25,4,9,0.444,0,0,0.0,0,0,0.0,1,4,5,0,2,1,1,4,8,13,0,281,Scott Williams,2000-01
42000,281,0040000046,"MAY 15, 2001",MIL vs. CHH,L,20,2,7,0.286,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,3,4,-6,0,281,Scott Williams,2000-01
42000,281,0040000045,"MAY 13, 2001",MIL @ CHH,L,16,4,5,0.8,0,0,0.0,0,2,0.0,2,3,5,0,0,1,1,2,8,-11,0,281,Scott Williams,2000-01
42000,281,0040000044,"MAY 10, 2001",MIL @ CHH,L,23,6,10,0.6,0,0,0.0,1,2,0.5,3,7,10,2,1,1,0,6,13,-9,0,281,Scott Williams,2000-01
42000,281,0040000042,"MAY 08, 2001",MIL vs. CHH,W,22,4,6,0.667,0,0,0.0,0,2,0.0,3,6,9,0,0,3,1,3,8,1,0,281,Scott Williams,2000-01
