SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season,TEAM_ABBREVIATION,TEAM_ID
22000,1507,20000188,"NOV 25, 2000",SAS vs. PHI,W,30,7,13,0.538,2,4,0.5,0,0,0.0,1,3,4,2,3,0,1,3,16,21,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000177,"NOV 24, 2000",SAS @ DEN,L,30,5,10,0.5,1,2,0.5,4,4,1.0,1,1,2,1,2,1,3,3,15,-25,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000165,"NOV 22, 2000",SAS vs. SEA,W,26,6,10,0.6,2,3,0.667,4,5,0.8,1,2,3,4,1,1,0,1,18,20,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000131,"NOV 17, 2000",SAS @ MIN,L,31,5,9,0.556,0,0,0.0,2,3,0.667,1,1,2,3,1,0,4,2,12,-20,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000119,"NOV 16, 2000",SAS @ WAS,W,34,7,12,0.583,1,2,0.5,4,4,1.0,0,3,3,1,0,0,1,4,19,18,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000107,"NOV 14, 2000",SAS vs. UTA,W,30,6,15,0.4,1,4,0.25,2,3,0.667,1,3,4,4,1,0,2,1,15,13,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000093,"NOV 11, 2000",SAS vs. VAN,W,23,1,7,0.143,1,1,1.0,2,2,1.0,0,0,0,1,1,0,1,1,5,-13,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000082,"NOV 10, 2000",SAS @ DAL,L,42,7,16,0.438,0,1,0.0,3,3,1.0,1,6,7,2,0,0,1,4,17,-2,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000068,"NOV 08, 2000",SAS vs. LAL,W,37,5,14,0.357,1,6,0.167,5,6,0.833,1,2,3,1,3,0,5,3,16,-4,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000059,"NOV 07, 2000",SAS @ PHX,L,30,2,6,0.333,0,1,0.0,5,5,1.0,0,4,4,3,0,0,1,1,9,-4,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000045,"NOV 04, 2000",SAS @ GSW,W,23,1,9,0.111,1,3,0.333,10,12,0.833,1,2,3,1,0,0,3,4,13,6,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000024,"NOV 02, 2000",SAS vs. MIN,W,36,9,18,0.5,2,3,0.667,9,9,1.0,3,3,6,5,1,0,2,2,29,21,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000009,"OCT 31, 2000",SAS vs. IND,W,28,2,7,0.286,1,1,1.0,4,4,1.0,0,2,2,3,0,0,4,4,9,5,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,353,20001183,"APR 18, 2001",ORL vs. MIA,L,22,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,3,0,0,2,2,2,0,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20001063,"APR 03, 2001",ORL @ NYK,L,33,4,12,0.333,2,7,0.286,0,0,0.0,0,3,3,3,1,0,4,2,10,2,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20001056,"APR 01, 2001",ORL @ TOR,W,38,8,13,0.615,4,5,0.8,2,5,0.4,1,1,2,7,5,0,2,2,22,-6,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20001042,"MAR 30, 2001",ORL @ DET,L,32,6,10,0.6,2,5,0.4,3,3,1.0,1,1,2,4,2,0,1,2,17,-5,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20001026,"MAR 28, 2001",ORL @ PHI,W,39,5,10,0.5,2,4,0.5,2,2,1.0,1,3,4,6,4,0,4,6,14,3,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20001005,"MAR 25, 2001",ORL vs. IND,W,39,7,16,0.438,0,5,0.0,0,0,0.0,1,5,6,2,1,0,2,1,14,4,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000995,"MAR 23, 2001",ORL @ MIL,L,39,4,9,0.444,1,2,0.5,0,1,0.0,1,8,9,11,2,1,3,2,9,-16,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000980,"MAR 21, 2001",ORL @ IND,L,43,11,24,0.458,6,10,0.6,1,1,1.0,0,3,3,12,0,0,1,1,29,5,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000971,"MAR 20, 2001",ORL @ CHI,W,39,4,12,0.333,2,5,0.4,7,8,0.875,0,2,2,13,1,0,0,1,17,14,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000958,"MAR 18, 2001",ORL vs. LAL,L,39,2,14,0.143,0,6,0.0,4,4,1.0,0,4,4,8,1,1,3,2,8,-6,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000943,"MAR 16, 2001",ORL vs. VAN,W,38,10,15,0.667,3,5,0.6,6,6,1.0,1,2,3,11,0,0,4,0,29,15,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000929,"MAR 14, 2001",ORL @ CLE,W,24,6,9,0.667,2,5,0.4,1,1,1.0,0,3,3,8,2,0,1,1,15,14,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000919,"MAR 13, 2001",ORL vs. SAC,L,40,5,18,0.278,1,7,0.143,2,2,1.0,1,5,6,7,1,0,7,2,13,1,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000901,"MAR 10, 2001",ORL vs. MIN,W,31,5,11,0.455,1,3,0.333,6,6,1.0,1,4,5,5,1,0,2,1,17,9,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000885,"MAR 08, 2001",ORL @ CHH,L,36,4,8,0.5,1,2,0.5,7,7,1.0,1,2,3,4,2,0,4,0,16,-9,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000877,"MAR 07, 2001",ORL vs. DET,W,36,2,9,0.222,1,3,0.333,2,2,1.0,0,8,8,10,2,0,4,3,7,9,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000862,"MAR 05, 2001",ORL vs. DAL,W,38,6,16,0.375,2,6,0.333,7,7,1.0,0,1,1,6,1,0,4,3,21,10,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000857,"MAR 04, 2001",ORL @ DET,L,37,6,13,0.462,3,7,0.429,1,1,1.0,0,1,1,7,3,0,2,2,16,-4,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000839,"MAR 02, 2001",ORL vs. CLE,W,26,1,6,0.167,0,3,0.0,2,3,0.667,1,4,5,6,0,0,3,1,4,10,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000830,"FEB 28, 2001",ORL @ PHX,W,35,4,11,0.364,0,3,0.0,5,6,0.833,1,6,7,11,2,0,4,2,13,8,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000813,"FEB 26, 2001",ORL @ DEN,W,33,3,15,0.2,2,10,0.2,3,3,1.0,0,1,1,7,2,0,1,0,11,8,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000807,"FEB 25, 2001",ORL @ LAL,L,36,6,15,0.4,3,6,0.5,0,0,0.0,5,5,10,8,3,0,2,2,15,0,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000790,"FEB 23, 2001",ORL @ HOU,L,39,9,20,0.45,3,9,0.333,2,3,0.667,0,2,2,6,1,0,5,3,23,0,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000764,"FEB 20, 2001",ORL vs. PHX,L,36,3,14,0.214,1,7,0.143,0,0,0.0,1,2,3,5,3,0,3,2,7,-4,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000751,"FEB 18, 2001",ORL vs. NYK,W,36,5,13,0.385,2,8,0.25,2,2,1.0,1,1,2,9,1,1,2,2,14,10,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000738,"FEB 16, 2001",ORL vs. HOU,W,38,7,16,0.438,2,5,0.4,4,4,1.0,0,5,5,9,4,0,1,3,20,28,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000724,"FEB 14, 2001",ORL vs. LAC,W,37,9,13,0.692,3,5,0.6,1,1,1.0,0,3,3,16,3,0,1,3,22,22,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000699,"FEB 07, 2001",ORL vs. WAS,W,37,10,15,0.667,7,9,0.778,5,5,1.0,2,5,7,5,1,0,5,1,32,23,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000692,"FEB 06, 2001",ORL @ CHH,W,27,4,6,0.667,3,4,0.75,2,2,1.0,0,5,5,9,2,0,1,0,13,15,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000669,"FEB 03, 2001",ORL vs. ATL,W,38,7,18,0.389,3,8,0.375,5,6,0.833,4,6,10,2,3,0,2,2,22,14,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000662,"FEB 02, 2001",ORL @ PHI,W,49,11,21,0.524,5,9,0.556,7,8,0.875,2,6,8,13,0,0,0,5,34,6,0,353,Darrell Armstrong,2000-01,ORL,1610612753
22000,353,20000647,"JAN 31, 2001",ORL @ WAS,W,33,5,11,0.455,2,4,0.5,4,4,1.0,1,1,2,7,1,0,0,1,16,5,0,353,Darrell Armstrong,2000-01,ORL,1610612753
